,Product Name,Product Price,Key Features,Availability,Image Link,Product Link,brand
69,Sony VTK-Z280 Remote Production Package with PXW-Z280 & Network RX Station,"$15,995","PXW-Z280 with 17x Optical Zoom Lens,PWS-110RX1A Network RX Station,Cartoni Focus 8 Video Tripod System,Think Tank V20 Carry-On Roller Bag",New Item - Special Order,,https://www.bhphotovideo.com/c/product/1581335-REG/sony_remoteprodz280_vtk_z280_video_transport_kit.html,Sony
70,Panasonic HC-V800 Full HD Camcorder,$597,"Full HD Video and 26MP Stills,1/2.5"" Back-Illuminated MOS Sensor,24x Leica Dicomar Optical Zoom,Three OIS Stabilizer Systems",More on the Way,,https://www.bhphotovideo.com/c/product/1383054-REG/panasonic_hc_v800k_hc_v800_full_hd_camcorder.html,Panasonic
71,Panasonic HC-V770K Full HD Camcorder,$597,"Record Full HD Video and 24MP Stills,1/2.3"" Back-Illuminated MOS Sensor,20x Optical Zoom / 50x Intelligent Zoom,HYBRID OIS 5-Axis Image Stabilization",More on the Way,,https://www.bhphotovideo.com/c/product/1109405-REG/panasonic_hc_v770_full_hd_camcorder.html,Panasonic
72,Panasonic HC-VX1 4K HD Camcorder (Refurbished),$699,"4K30 MP4 HD Video & 26MP Stills,1/2.5"" Back-Illuminated MOS Sensor,24x Leica Dicomar Optical Zoom,Wireless Multi-Cam Smartphone Function",More on the Way,,https://www.bhphotovideo.com/c/product/1659987-REG/panasonic_hc_vx1kr_hc_vx1_4k_hd_camcorder.html,Panasonic
73,Panasonic HC-VX1 4K HD Camcorder,$797,"4K30 MP4 HD Video & 26MP Stills,1/2.5"" Back-Illuminated MOS Sensor,24x Leica Dicomar Optical Zoom,Wireless Multi-Cam Smartphone Function",Back-Ordered,,https://www.bhphotovideo.com/c/product/1383052-REG/panasonic_hc_vx1k_hc_vx1_4k_camcorder.html,Panasonic
74,Panasonic HC-VX870K 4K Ultra HD Camcorder (Refurbished),$799,"4K Ultra HD Video and 25.9MP Stills,1/2.3"" Back-Illuminated MOS Sensor,20x Optical Zoom / 50x Intelligent Zoom,HYBRID OIS 5-Axis Image Stabilization",Back-Ordered,,https://www.bhphotovideo.com/c/product/1659988-REG/panasonic_hc_vx870kr_hc_vx870k_4k_ultra_hd.html,Panasonic
75,KJB Security Products DD1200 PRO Camera Finder,$349,,In Stock,,https://www.bhphotovideo.com/c/product/919551-REG/kjb_security_products_dd1200_pro_camera_finder.html,KJB
76,KJB Security Products Multi-Channel Detector for Wireless Protocols,$795,"30' Detection Range,Detect GSM, CDMA, 3/4G, Bluetooth, Wi-Fi,Locates GPS Trackers,Finds Cameras along 2.4 Ghz Frequency",In Stock,,https://www.bhphotovideo.com/c/product/919549-REG/kjb_security_products_dd1207_multi_channel_detector_for.html,KJB
77,KJB Security Products DD2000 Detection and Counter Surveillance with Carrying Case Kit,"$2,825",,Special Order,,https://www.bhphotovideo.com/c/product/1504824-REG/kjb_security_products_dd2000_detection_and_counter_surveillance.html,KJB
78,KJB Security Products 1800 Counter Series Waterproof Protective Case,$41,"Suitable for Counter Surveillance Gear,Protective Foam Inserts,Predrilled for Two Padlocks,Secure Easy-Open Latches",In Stock,,https://www.bhphotovideo.com/c/product/1521511-REG/kjb_security_products_1800_case_for_complete_countersurveillance.html,KJB
79,KJB Security Products TD2300 Transducer for DNG2300 White Noise Generator,$65,For Use with DNG2300 Noise Generator,Special Order,,https://www.bhphotovideo.com/c/product/1581049-REG/kjb_security_products_td2300_transducer_for_white_noise.html,KJB
